Date,Confirmed,Deaths,Recovered,ISO2,Country,AdminRegion1,AdminRegion2
01/21/2020,262,0.0,0.0,0,Worldwide,0,0
01/22/2020,313,0.0,0.0,0,Worldwide,0,0
01/23/2020,578,0.0,0.0,0,Worldwide,0,0
01/24/2020,841,0.0,0.0,0,Worldwide,0,0
01/25/2020,1320,0.0,0.0,0,Worldwide,0,0
01/26/2020,2014,0.0,0.0,0,Worldwide,0,0
01/27/2020,2798,0.0,0.0,0,Worldwide,0,0
01/28/2020,4593,0.0,0.0,0,Worldwide,0,0
01/29/2020,6065,0.0,0.0,0,Worldwide,0,0
01/30/2020,7818,0.0,0.0,0,Worldwide,0,0
01/31/2020,9826,0.0,0.0,0,Worldwide,0,0
02/01/2020,11953,0.0,0.0,0,Worldwide,0,0
02/02/2020,14557,0.0,0.0,0,Worldwide,0,0
02/03/2020,17386,362.0,0.0,0,Worldwide,0,0
02/04/2020,20625,426.0,0.0,0,Worldwide,0,0
02/05/2020,24549,492.0,0.0,0,Worldwide,0,0
02/06/2020,28256,565.0,0.0,0,Worldwide,0,0
02/07/2020,31420,638.0,0.0,0,Worldwide,0,0
02/08/2020,34822,724.0,0.0,0,Worldwide,0,0
02/09/2020,37494,813.0,0.0,0,Worldwide,0,0
02/10/2020,40484,910.0,0.0,0,Worldwide,0,0
02/11/2020,42968,1018.0,0.0,0,Worldwide,0,0
02/12/2020,44996,1115.0,0.0,0,Worldwide,0,0
02/13/2020,46823,1369.0,0.0,0,Worldwide,0,0
02/14/2020,64219,1383.0,0.0,0,Worldwide,0,0
02/15/2020,66884,1526.0,0.0,0,Worldwide,0,0
02/16/2020,68912,1669.0,0.0,0,Worldwide,0,0
02/17/2020,70975,1775.0,0.0,0,Worldwide,0,0
02/18/2020,72778,1873.0,0.0,0,Worldwide,0,0
02/19/2020,75204,2009.0,0.0,0,Worldwide,0,0
02/20/2020,75748,2129.0,0.0,0,Worldwide,0,0
02/21/2020,76769,2247.0,0.0,0,Worldwide,0,0
02/22/2020,77794,2359.0,0.0,0,Worldwide,0,0
02/23/2020,78811,2462.0,0.0,0,Worldwide,0,0
02/24/2020,79331,2618.0,0.0,0,Worldwide,0,0
02/25/2020,80239,2700.0,0.0,0,Worldwide,0,0
02/26/2020,81109,2762.0,0.0,0,Worldwide,0,0
02/27/2020,82294,2804.0,0.0,0,Worldwide,0,0
02/28/2020,83652,2858.0,0.0,0,Worldwide,0,0
02/29/2020,85403,2924.0,0.0,0,Worldwide,0,0
03/01/2020,87137,2977.0,0.0,0,Worldwide,0,0
03/02/2020,88948,3043.0,0.0,0,Worldwide,0,0
03/03/2020,90869,3112.0,0.0,0,Worldwide,0,0
03/04/2020,93091,3198.0,0.0,0,Worldwide,0,0
03/05/2020,95324,3281.0,0.0,0,Worldwide,0,0
03/06/2020,98192,3380.0,0.0,0,Worldwide,0,0
03/07/2020,101927,3486.0,0.0,0,Worldwide,0,0
03/08/2020,105586,3584.0,0.0,0,Worldwide,0,0
03/09/2020,109577,3809.0,0.0,0,Worldwide,0,0
03/10/2020,113702,4012.0,0.0,0,Worldwide,0,0
03/11/2020,118319,4292.0,0.0,0,Worldwide,0,0
03/12/2020,125260,4613.0,0.0,0,Worldwide,0,0
03/13/2020,132755,4955.0,0.0,0,Worldwide,0,0
03/14/2020,142534,5392.0,0.0,0,Worldwide,0,0
03/15/2020,153517,5735.0,0.0,0,Worldwide,0,0
03/16/2020,167515,6606.0,0.0,0,Worldwide,0,0
03/17/2020,179111,7426.0,81727.0,0,Worldwide,0,0
03/18/2020,191127,7807.0,84446.0,0,Worldwide,0,0
03/19/2020,244799,10030.0,87407.0,0,Worldwide,0,0
03/20/2020,275130,11376.0,90943.0,0,Worldwide,0,0
03/21/2020,304999,13003.0,94793.0,0,Worldwide,0,0
03/22/2020,335403,14611.0,97636.0,0,Worldwide,0,0
03/23/2020,378394,16491.0,101584.0,0,Worldwide,0,0
03/24/2020,417663,18605.0,108312.0,0,Worldwide,0,0
03/25/2020,463387,20912.0,113802.0,0,Worldwide,0,0
03/26/2020,529614,23714.0,121454.0,0,Worldwide,0,0
03/27/2020,587958,26909.0,132440.0,0,Worldwide,0,0
03/28/2020,662541,30839.0,141468.0,0,Worldwide,0,0
03/29/2020,720415,33908.0,150918.0,0,Worldwide,0,0
03/30/2020,777286,37140.0,164446.0,0,Worldwide,0,0
03/31/2020,856955,42089.0,177917.0,0,Worldwide,0,0
04/01/2020,932605,46809.0,193259.0,0,Worldwide,0,0
04/02/2020,1011490,52863.0,210186.0,0,Worldwide,0,0
04/03/2020,1095917,58787.0,225796.0,0,Worldwide,0,0
04/04/2020,1196553,64549.0,246108.0,0,Worldwide,0,0
04/05/2020,1272115,69309.0,260012.0,0,Worldwide,0,0
04/06/2020,1341907,74565.0,276259.0,0,Worldwide,0,0
04/07/2020,1426096,81259.0,300054.0,0,Worldwide,0,0
04/08/2020,1504971,87984.0,328661.0,0,Worldwide,0,0
04/09/2020,1587209,94850.0,353291.0,0,Worldwide,0,0
04/10/2020,1684833,102136.0,375499.0,0,Worldwide,0,0
04/11/2020,1764622,107904.0,385999.0,0,Worldwide,0,0
04/12/2020,1838772,107904.0,421497.0,0,Worldwide,0,0
04/13/2020,1912923,118966.0,448053.0,0,Worldwide,0,0
04/14/2020,1970879,125678.0,472948.0,0,Worldwide,0,0
04/15/2020,2056055,133572.0,511019.0,0,Worldwide,0,0
04/16/2020,2151199,143725.0,541501.0,0,Worldwide,0,0
04/17/2020,2234109,153379.0,567695.0,0,Worldwide,0,0
04/18/2020,2310572,158691.0,590682.0,0,Worldwide,0,0
04/19/2020,2394291,164938.0,611880.0,0,Worldwide,0,0
04/20/2020,2470410,169794.0,645335.0,0,Worldwide,0,0
04/21/2020,2560504,176926.0,679793.0,0,Worldwide,0,0
04/22/2020,2628894,182992.0,709050.0,0,Worldwide,0,0
04/23/2020,2699338,188437.0,737735.0,0,Worldwide,0,0
04/24/2020,2790986,195920.0,781382.0,0,Worldwide,0,0
04/25/2020,2868539,201502.0,811660.0,0,Worldwide,0,0
04/26/2020,2965363,206265.0,863464.0,0,Worldwide,0,0
04/27/2020,3002303,208131.0,878813.0,0,Worldwide,0,0
04/28/2020,3083467,213824.0,915988.0,0,Worldwide,0,0
04/29/2020,3170335,224708.0,958353.0,0,Worldwide,0,0
04/30/2020,3249022,230804.0,1006112.0,0,Worldwide,0,0
05/01/2020,3303296,235290.0,1039588.0,0,Worldwide,0,0
05/02/2020,3419184,243355.0,1092644.0,0,Worldwide,0,0
05/03/2020,3502126,247107.0,1124127.0,0,Worldwide,0,0
05/04/2020,3578301,251059.0,1162279.0,0,Worldwide,0,0
05/05/2020,3659271,256736.0,1197340.0,0,Worldwide,0,0
05/06/2020,3744585,263068.0,1238250.0,0,Worldwide,0,0
05/07/2020,3836215,268999.0,1278499.0,0,Worldwide,0,0
05/08/2020,3932896,274422.0,1313004.0,0,Worldwide,0,0
05/09/2020,4018342,278756.0,1363698.0,0,Worldwide,0,0
05/10/2020,4097158,282495.0,1402882.0,0,Worldwide,0,0
05/11/2020,4168427,285445.0,1452626.0,0,Worldwide,0,0
05/12/2020,4233504,289932.0,1481314.0,0,Worldwide,0,0
05/13/2020,4336973,296252.0,1540464.0,0,Worldwide,0,0
05/14/2020,4434590,301937.0,1583929.0,0,Worldwide,0,0
05/15/2020,4531811,307001.0,1632286.0,0,Worldwide,0,0
05/16/2020,4626632,311363.0,1679428.0,0,Worldwide,0,0
05/17/2020,4710614,315023.0,1732344.0,0,Worldwide,0,0
05/18/2020,4786672,317695.0,1776641.0,0,Worldwide,0,0
05/19/2020,4889287,322683.0,1679155.0,0,Worldwide,0,0
05/20/2020,4968689,326515.0,1885535.0,0,Worldwide,0,0
05/21/2020,5076846,332425.0,1936947.0,0,Worldwide,0,0
05/22/2020,5180982,336432.0,1992496.0,0,Worldwide,0,0
05/23/2020,5280743,340477.0,2090465.0,0,Worldwide,0,0
05/24/2020,5383582,344077.0,2158031.0,0,Worldwide,0,0
05/25/2020,5471768,344911.0,2223523.0,0,Worldwide,0,0
05/26/2020,5559130,348610.0,2271268.0,0,Worldwide,0,0
05/27/2020,5682389,354944.0,2337385.0,0,Worldwide,0,0
05/28/2020,5803416,359791.0,2399247.0,0,Worldwide,0,0
05/29/2020,5916464,364357.0,2486634.0,0,Worldwide,0,0
05/30/2020,6048384,368604.0,2538227.0,0,Worldwide,0,0
05/31/2020,6132154,371154.0,2631567.0,0,Worldwide,0,0
06/01/2020,6246042,374452.0,2687848.0,0,Worldwide,0,0
06/02/2020,6325303,377460.0,2727679.0,0,Worldwide,0,0
06/03/2020,6444298,382435.0,2764304.0,0,Worldwide,0,0
06/04/2020,6573286,387898.0,2837955.0,0,Worldwide,0,0
06/05/2020,6722408,393934.0,2996534.0,0,Worldwide,0,0
06/06/2020,6852810,398211.0,3071142.0,0,Worldwide,0,0
06/07/2020,6979789,401848.0,3130301.0,0,Worldwide,0,0
06/08/2020,7085894,405168.0,3180479.0,0,Worldwide,0,0
06/09/2020,7185573,408954.0,3352665.0,0,Worldwide,0,0
06/10/2020,7313661,413854.0,3442630.0,0,Worldwide,0,0
06/11/2020,7414050,417514.0,3488251.0,0,Worldwide,0,0
06/12/2020,7617591,424587.0,3601584.0,0,Worldwide,0,0
06/13/2020,7715890,427670.0,3662834.0,0,Worldwide,0,0
06/14/2020,7835340,431141.0,3733612.0,0,Worldwide,0,0
06/15/2020,7963453,434432.0,3809566.0,0,Worldwide,0,0
06/16/2020,8085932,438453.0,3918176.0,0,Worldwide,0,0
06/17/2020,8261260,445468.0,4013202.0,0,Worldwide,0,0
06/18/2020,8400320,450435.0,4109183.0,0,Worldwide,0,0
06/19/2020,8519543,454582.0,4184445.0,0,Worldwide,0,0
06/20/2020,8716985,461206.0,4286643.0,0,Worldwide,0,0
06/21/2020,8802328,464620.0,4372440.0,0,Worldwide,0,0
06/22/2020,9030328,469939.0,4475013.0,0,Worldwide,0,0
06/23/2020,9154232,473650.0,4585022.0,0,Worldwide,0,0
06/24/2020,9237691,476911.0,4613425.0,0,Worldwide,0,0
06/25/2020,9494571,484155.0,4782910.0,0,Worldwide,0,0
06/26/2020,9641472,489990.0,4865562.0,0,Worldwide,0,0
06/27/2020,9891727,496075.0,5004567.0,0,Worldwide,0,0
06/28/2020,10044731,499892.0,5085018.0,0,Worldwide,0,0
06/29/2020,10199798,502947.0,5169421.0,0,Worldwide,0,0
06/30/2020,10368165,507188.0,5284524.0,0,Worldwide,0,0
07/01/2020,10512383,512331.0,5387249.0,0,Worldwide,0,0
07/02/2020,10694288,516210.0,5480394.0,0,Worldwide,0,0
07/03/2020,10874146,521355.0,5767410.0,0,Worldwide,0,0
07/04/2020,11169802,528232.0,6010342.0,0,Worldwide,0,0
07/05/2020,11304534,531659.0,6111195.0,0,Worldwide,0,0
07/06/2020,11483400,535027.0,6214206.0,0,Worldwide,0,0
07/07/2020,11694766,540157.0,6349542.0,0,Worldwide,0,0
07/08/2020,11910220,546318.0,6506408.0,0,Worldwide,0,0
07/09/2020,12169400,552104.0,6696322.0,0,Worldwide,0,0
07/10/2020,12373722,556863.0,6786196.0,0,Worldwide,0,0
07/11/2020,12507849,560460.0,6890914.0,0,Worldwide,0,0
07/12/2020,12726677,560460.0,6890914.0,0,Worldwide,0,0
07/13/2020,12945505,571444.0,7001675.0,0,Worldwide,0,0
07/14/2020,13203571,575201.0,7331068.0,0,Worldwide,0,0
07/15/2020,13382020,580038.0,7445299.0,0,Worldwide,0,0
07/16/2020,13654445,586174.0,7622505.0,0,Worldwide,0,0
07/17/2020,13926476,593209.0,7796508.0,0,Worldwide,0,0
07/18/2020,14126035,598098.0,7931486.0,0,Worldwide,0,0
07/19/2020,14394056,603697.0,8084942.0,0,Worldwide,0,0
07/20/2020,14608517,608420.0,8201516.0,0,Worldwide,0,0
